Volatility 3 Framework 2.26.2

PID	Process	Block	Variable	Value

252	smss.exe	0x3208c0	Path	C:\Windows\System32
252	smss.exe	0x3208c0	SystemDrive	C:
252	smss.exe	0x3208c0	SystemRoot	C:\Windows
328	csrss.exe	0x280cc0	ComSpec	C:\Windows\system32\cmd.exe
328	csrss.exe	0x280cc0	FP_NO_HOST_CHECK	NO
328	csrss.exe	0x280cc0	NUMBER_OF_PROCESSORS	1
328	csrss.exe	0x280cc0	OS	Windows_NT
328	csrss.exe	0x280cc0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
328	csrss.exe	0x280cc0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
328	csrss.exe	0x280cc0	PROCESSOR_ARCHITECTURE	x86
328	csrss.exe	0x280cc0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
328	csrss.exe	0x280cc0	PROCESSOR_LEVEL	6
328	csrss.exe	0x280cc0	PROCESSOR_REVISION	3a09
328	csrss.exe	0x280cc0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
328	csrss.exe	0x280cc0	SystemDrive	C:
328	csrss.exe	0x280cc0	SystemRoot	C:\Windows
328	csrss.exe	0x280cc0	TEMP	C:\Windows\TEMP
328	csrss.exe	0x280cc0	TMP	C:\Windows\TEMP
328	csrss.exe	0x280cc0	USERNAME	SYSTEM
328	csrss.exe	0x280cc0	windir	C:\Windows
364	csrss.exe	0x1a0cc0	ComSpec	C:\Windows\system32\cmd.exe
364	csrss.exe	0x1a0cc0	FP_NO_HOST_CHECK	NO
364	csrss.exe	0x1a0cc0	NUMBER_OF_PROCESSORS	1
364	csrss.exe	0x1a0cc0	OS	Windows_NT
364	csrss.exe	0x1a0cc0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
364	csrss.exe	0x1a0cc0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
364	csrss.exe	0x1a0cc0	PROCESSOR_ARCHITECTURE	x86
364	csrss.exe	0x1a0cc0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
364	csrss.exe	0x1a0cc0	PROCESSOR_LEVEL	6
364	csrss.exe	0x1a0cc0	PROCESSOR_REVISION	3a09
364	csrss.exe	0x1a0cc0	PSModulePath	C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
364	csrss.exe	0x1a0cc0	SystemDrive	C:
364	csrss.exe	0x1a0cc0	SystemRoot	C:\Windows
364	csrss.exe	0x1a0cc0	TEMP	C:\Windows\TEMP
364	csrss.exe	0x1a0cc0	TMP	C:\Windows\TEMP
364	csrss.exe	0x1a0cc0	USERNAME	SYSTEM
364	csrss.exe	0x1a0cc0	windir	C:\Windows
372	wininit.exe	0x1c0cc0	ALLUSERSPROFILE	C:\ProgramData
372	wininit.exe	0x1c0cc0	CommonProgramFiles	C:\Program Files\Common Files
372	wininit.exe	0x1c0cc0	COMPUTERNAME	FLAG-PC
372	wininit.exe	0x1c0cc0	ComSpec	C:\Windows\system32\cmd.exe
372	wininit.exe	0x1c0cc0	FP_NO_HOST_CHECK	NO
372	wininit.exe	0x1c0cc0	NUMBER_OF_PROCESSORS	1
372	wininit.exe	0x1c0cc0	OS	Windows_NT
372	wininit.exe	0x1c0cc0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
372	wininit.exe	0x1c0cc0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
372	wininit.exe	0x1c0cc0	PROCESSOR_ARCHITECTURE	x86
372	wininit.exe	0x1c0cc0	PROCESSOR_IDENTIFIER	x86 Family 6 Model 58 Stepping 9, GenuineIntel
372	wininit.exe	0x1c0cc0	PROCESSOR_LEVEL	6
372	wininit.exe	0x1c0cc0	PROCESSOR_REVISION	3a09
372	wininit.exe	0x1c0cc0	ProgramData	C:\ProgramData
372	wininit.exe	0x1c0cc0	ProgramFiles	C:\Program Files
